bname,btype,ra,dec,catalogue,nt,nb,z,fieldsize,countingmag,bgb,bgb_err
BZBJ1515+2426,bllac,228.98412,24.43897,bzcat,26,16,0.228,111.658927432,-19.1837,157.988188249,96.1523953357
141946.59+542314.7,bllac,214.944152832,54.3874397278,plotkin,60,59,0.153,163.571801431,-19.1837,15.7759690693,158.318747025
BZQJ0106-1034,fsrq,16.68371,-10.56939,bzcat,3,2,0.469,57.5317205932,-19.9025478708,28.0971411266,58.8029600188
BZBJ1721+6004,bllac,260.31913,60.06844,bzcat,6,7,0.531,51.6076626021,-20.2282807188,-40.0540380326,-143.46951628
083548.14+151717.0,candidate,128.950592041,15.2880802155,plotkin,32,36,0.168,149.470514813,-19.1837,-64.1151535012,-129.069075156
104857.61+500945.3,bllac,162.240066528,50.1626014709,plotkin,16,13,0.403,65.8711987032,-19.5087862049,63.5400945921,105.836598485
BZBJ1439+3932,bllac,219.82292,39.54525,bzcat,26,27,0.344,76.0685672385,-19.1837,-21.6403178589,-147.773426361
J093200.1+553347.0,fsrq,143.000416667,55.5630555556,chen,26,33,0.266,96.5611321812,-19.1837,-114.815924385,-129.951157138
J122106.9+454852.2,fsrq,185.27875,45.8145,chen,5,6,0.525,52.1189351596,-20.1983472017,-39.1251709416,-130.58666882
BZQJ2255-0844,fsrq,343.76767,-8.73444,bzcat,4,2,0.606,46.0839231613,-20.5779561815,103.76678177,120.342627625
BZQJ1150+0156,fsrq,177.60329,1.93897,bzcat,1,1,0.706,40.5738967991,-20.985637183,0.0,0.0
BZQJ1505+0326,fsrq,226.277,3.44189,bzcat,12,11,0.409,65.0005081381,-19.5469469088,21.7313640543,96.1843036983
BZQJ1312+3515,fsrq,198.07404,35.25589,bzcat,55,47,0.184,136.968717108,-19.1837,130.394291984,152.404865763
114535.10-034001.4,bllac,176.396255493,-3.66707992554,plotkin,42,45,0.168,149.470514813,-19.1837,-48.0863651259,-142.512064712
BZBJ1409+1352,candidate,212.32946,13.87814,bzcat,7,3,0.58,47.8342897614,-20.4615644495,194.165418031,146.189282418
BZBJ0733+4111,bllac,113.445,41.18889,bzcat,1,4,0.67,42.3642128984,-20.8455623556,-199.183415959,-207.422961325
BZQJ2334+0736,fsrq,353.55346,7.60767,bzcat,27,22,0.401,66.1672813548,-19.4959498985,104.996634986,136.382505308
BZQJ0856+1739,fsrq,134.23621,17.66328,bzcat,6,3,0.516,52.9084831337,-20.1528451019,113.318460947,107.304066343
BZBJ1642+2211,bllac,250.58467,22.19539,bzcat,3,2,0.592,47.0069763165,-20.5158794326,50.891143232,106.507272298
BZUJ0840+1312,uncertain,130.19829,13.20656,bzcat,1,1,0.681,41.7966582387,-20.8891064469,0.0,0.0
BZUJ1512+0203,uncertain,228.06563,2.05472,bzcat,34,35,0.219,116.00577086,-19.1837,-15.6565180878,-121.426366584
TeV J1136+701,bllac,174.11,70.1575,tevcat,113,633,0.045,543.23328303,-19.1837,-9782.58230265,-750.096804643
BZQJ1538+4105,fsrq,234.57775,41.09678,bzcat,1,4,0.481,56.2642016265,-19.9685901856,-88.7457027609,-92.4168128301
BZQJ1206+2822,fsrq,181.58187,28.38183,bzcat,1,2,0.708,40.479884739,-20.9932186886,-76.9947493225,-161.138072577
BZBJ2129+0035,candidate,322.41954,0.59108,bzcat,18,11,0.425,62.8001412569,-19.6462469244,162.903312057,117.724544069
142422.91+343356.7,bllac,216.095458984,34.5657691956,plotkin,5,6,0.576,48.1178586556,-20.4432252587,-47.7834562229,-159.485114638
090314.70+405559.8,bllac,135.811279297,40.9333000183,plotkin,40,43,0.188,134.176615776,-19.1837,-49.1011284521,-142.374458575
BZUJ2303-1841,uncertain,345.76242,-18.69047,bzcat,0,6,0.129,192.9698134,-19.1837,-124.13719399,-83.1194075679
002142.25-090044.4,bllac,5.4260802269,-9.01233959198,plotkin,1,2,0.648,43.5583637049,-20.7564039425,-60.9758012565,-127.612897954
100444.76+375212.0,bllac,151.186523438,37.8699989319,plotkin,13,12,0.44,60.8842458434,-19.7362634899,24.8148710809,114.471621608
103220.28+030949.2,bllac,158.084533691,3.16367006302,plotkin,9,14,0.323,80.6057076654,-19.1837,-106.12584192,-113.629013778
BZQJ1453+3505,fsrq,223.32729,35.09428,bzcat,0,1,0.721,39.8818076301,-21.0420058873,-81.0248297149,-132.890601442
BZUJ1324+5739,uncertain,201.00388,57.6545,bzcat,128,110,0.115,215.794828046,-19.1837,366.739527888,290.933565452
085410.16+275421.7,bllac,133.542373657,27.9060401917,plotkin,5,3,0.494,54.961480669,-20.0384365365,62.5636948185,83.1767793303
BZQJ2106+2135,fsrq,316.54508,21.59333,bzcat,2,1,0.647,43.6146118141,-20.7522836456,60.7408862951,99.6224606737
102339.73+300057.7,bllac,155.91557312,30.0160503387,plotkin,9,5,0.433,61.7616172345,-19.6946133394,96.3298260417,84.9738822176
BZBJ1604+3345,bllac,241.19383,33.75606,bzcat,48,55,0.177,142.159428109,-19.1837,-113.265876283,-161.767937533
BZBJ0212+2244,candidate,33.22017,22.74786,bzcat,8,11,0.459,58.6393058228,-19.846308032,-80.7546592961,-125.075617487
085729.78+062725.0,bllac,134.37411499,6.45695018768,plotkin,15,14,0.338,77.3069148862,-19.1837,21.521550164,106.873513161
BZQJ1256-2155,fsrq,194.10629,-21.92258,bzcat,56,80,0.129,192.9698134,-19.1837,-496.548775962,-261.049103233
BZUJ1239+0730,uncertain,189.85246,7.50478,bzcat,10,5,0.4,66.3164425225,-19.4895097708,104.547719268,76.6841663903
BZBJ0901+3752,bllac,135.41262,37.87953,bzcat,3,7,0.477,56.6795271701,-19.9467470681,-116.312920275,-115.693357779
093239.36+104235.1,bllac,143.164031982,10.7097797394,plotkin,13,5,0.361,72.7852774967,-19.2260486053,179.648088893,91.0784362871
205523.37-050619.2,bllac,313.847381592,-5.10535001755,plotkin,8,12,0.342,76.4764825252,-19.1837,-86.4028601985,-106.436961743
BZUJ1147+3501,uncertain,176.84221,35.01875,bzcat,349,342,0.063,389.505345452,-19.1837,134.484144455,464.668843449
BZQJ2142-0437,fsrq,325.65375,-4.62875,bzcat,20,5,0.344,76.0685672385,-19.1837,324.604767883,104.793672149
BZUJ0313+4120,uncertain,48.25817,41.33364,bzcat,118,98,0.136,183.321764642,-19.1837,416.948557168,284.030425116
235604.01-002353.7,bllac,359.016723633,-0.398270010948,plotkin,26,19,0.283,91.1256192427,-19.1837,116.715208917,104.273348397
165146.61+184709.0,bllac,252.944213867,18.7858505249,plotkin,6,7,0.447,60.0346812137,-19.7773072942,-25.5697165675,-91.5881406107
075602.72+414039.8,bllac,119.01133728,41.6777305603,plotkin,0,1,0.579,47.9048071677,-20.4569908507,-48.3507174761,-79.3010728706
BZBJ0809+5218,bllac,122.45479,52.31631,bzcat,60,70,0.138,180.745246649,-19.1837,-208.925817075,-236.649416232
120837.11+612106.4,bllac,182.154632568,61.3517799377,plotkin,48,39,0.275,93.5993174175,-19.1837,148.912332666,143.204958534
BZBJ0110+4149,bllac,17.51996,41.83081,bzcat,204,169,0.096,257.43373439,-19.1837,698.187637921,357.184531426
BZQJ2151+0552,fsrq,327.90783,5.87028,bzcat,1,1,0.74,39.0463276112,-21.1118209717,0.0,0.0
BZBJ1458+3720,bllac,224.68663,37.33933,bzcat,11,14,0.333,78.3732358199,-19.1837,-64.2680126609,-110.61236763
J145859.4+041614.1,fsrq,224.7475,4.27058333333,chen,17,11,0.392,67.5374362551,-19.4374489947,155.038307763,128.134781722
BZBJ1735+5650,bllac,263.79508,56.83964,bzcat,16,7,0.388,68.1670056139,-19.4110519507,228.387168514,115.817403903
J152942.2+350851.5,fsrq,232.425833333,35.1476388889,chen,13,16,0.287,89.9407816974,-19.1837,-50.2126908217,-91.7365080358
103852.18+325651.6,bllac,159.717453003,32.947681427,plotkin,20,14,0.321,81.0690229562,-19.1837,127.114253213,115.379478937
BZUJ2318+3048,uncertain,349.65375,30.81031,bzcat,113,136,0.103,240.304092247,-19.1837,-462.415991824,-319.689152112
085229.10+243354.4,bllac,133.121276855,24.565120697,plotkin,27,20,0.358,73.3418274377,-19.2047159189,155.067880017,141.499169569
BZQJ1233-0031,fsrq,188.26692,-0.52619,bzcat,3,6,0.471,57.3159241261,-19.913662535,-85.0175523576,-102.72709937
BZBJ1506+4334,bllac,226.5735,43.57042,bzcat,5,4,0.47,57.4235897325,-19.9081106688,28.2178968889,78.605964847
083417.58+182501.6,bllac,128.573272705,18.4171199799,plotkin,8,17,0.336,77.7296059771,-19.1837,-193.33789307,-131.9525765
140330.85+360651.1,bllac,210.878555298,36.1142196655,plotkin,34,26,0.25,102.356060152,-19.1837,129.181383245,116.375327512
BZBJ1125-0742,candidate,171.46663,-7.70586,bzcat,30,12,0.279,92.3446276309,-19.1837,298.974334783,102.765506646
162451.69+232515.8,bllac,246.215377808,23.4210605621,plotkin,7,10,0.441,60.7612058744,-19.7421636919,-74.763949488,-111.172537599
BZBJ1435+5815,candidate,218.9415,58.25686,bzcat,23,15,0.299,86.5776313173,-19.1837,135.437793039,97.7682407348
BZBJ0740+3322,bllac,115.2065,33.36753,bzcat,3,1,0.67,42.3642128984,-20.8455623556,132.788943973,127.539615842
134853.41+075647.7,bllac,207.222564697,7.94659996033,plotkin,31,24,0.25,102.356060152,-19.1837,113.03371034,111.360421619
132759.77+645811.3,bllac,201.999053955,64.9698181152,plotkin,22,5,0.447,60.0346812137,-19.7773072942,434.685181647,128.994088298
BZBJ0111+0536,candidate,17.87625,5.60736,bzcat,23,17,0.346,75.6654125289,-19.1837,130.079601808,127.764541298
085253.08+175718.5,bllac,133.221206665,17.9551391602,plotkin,55,58,0.211,120.182174685,-19.1837,-46.5906936512,-156.092344491
BZBJ2350+3622,bllac,357.65388,36.36825,bzcat,16,9,0.317,82.013322898,-19.1837,147.747817484,99.4711899893
BZQJ2030-0622,fsrq,307.56304,-6.37083,bzcat,1,4,0.667,42.5223194781,-20.8335689507,-196.879410315,-205.023646747
BZBJ2343+3439,bllac,355.89,34.66361,bzcat,10,10,0.366,71.8781471697,-19.2612448109,0.0,0.0
103317.94+422236.3,bllac,158.324783325,42.3767814636,plotkin,40,31,0.211,120.182174685,-19.1837,139.772080954,121.682111803
BZBJ0741+3205,bllac,115.27475,32.09556,bzcat,71,50,0.179,140.63482698,-19.1837,340.507966262,166.546002046
BZBJ2248-0036,bllac,342.081,-0.61158,bzcat,39,39,0.212,119.642821962,-19.1837,0.0,0.0
BZBJ2211-0003,bllac,332.78475,-0.05069,bzcat,12,21,0.362,72.601830766,-19.233123346,-203.022496633,-150.464088159
165109.19+421253.4,bllac,252.788299561,42.2148590088,plotkin,20,18,0.269,95.551721006,-19.1837,32.9001907404,93.6644797875
BZQJ1548+3511,fsrq,237.07467,35.19122,bzcat,3,4,0.479,56.4709854597,-19.9576897279,-29.3289533807,-81.7010100899
J164147.6+393503.4,fsrq,250.448333333,39.5842777778,chen,6,3,0.539,50.9439559895,-20.2677054184,123.983019954,117.402602253
J133253.3+020045.4,fsrq,203.222083333,2.01261111111,chen,50,37,0.216,117.535530116,-19.1837,202.918797263,135.655894545
BZQJ1546+0026,fsrq,236.53971,0.44017,bzcat,3,2,0.556,49.5979861211,-20.3497034292,44.174016447,92.4493674035
BZBJ0751+2913,bllac,117.78987,29.22653,bzcat,47,37,0.185,136.259337678,-19.1837,163.162207124,138.956353943
TeV J2202+422,bllac,330.680416667,42.2777777778,tevcat,0,0,0.069,356.090834606,-19.1837,0.0,0.0
123438.95+391046.8,bllac,188.66229248,39.1796684265,plotkin,5,2,0.584,47.5546733989,-20.4797855454,147.935336231,124.554954602
153311.25+185429.1,bllac,233.296875,18.9080905914,plotkin,19,16,0.307,84.4825129622,-19.1837,62.7296352636,114.604447507
TeV J0013-188,bllac,3.46666666667,-18.8913888889,tevcat,6,29,0.095,260.087082776,-19.1837,-458.29416792,-169.088043914
BZBJ0950+4553,bllac,147.54933,45.88892,bzcat,6,8,0.399,66.4663637056,-19.4830546445,-53.341967769,-105.071491085
BZQJ1359+4011,fsrq,209.90871,40.19397,bzcat,12,10,0.406,65.4326041852,-19.5279312462,42.9079075388,93.2691980302
J103214.6+635950.2,fsrq,158.060833333,63.9972777778,chen,5,2,0.556,49.5979861211,-20.3497034292,132.522049341,111.577654535
BZBJ0138-1754,bllac,24.54858,-17.90483,bzcat,6,7,0.53,51.6920616041,-20.2233135349,-39.8976721721,-142.90942957
BZUJ1550+1120,uncertain,237.68163,11.3465,bzcat,20,12,0.436,61.3821109899,-19.7125387704,195.149204137,129.722855532
BZUJ0909+4253,uncertain,137.38954,42.89625,bzcat,5,1,0.67,42.3642128984,-20.8455623556,265.577887945,158.375520299
144932.70+274621.6,bllac,222.386260986,27.7726898193,plotkin,50,43,0.227,112.124822087,-19.1837,110.480970077,140.875946671
TeV J1224+213,fsrq,186.226666667,21.3794444444,tevcat,14,4,0.432,61.8893033018,-19.6886128254,239.796134299,98.1700890176
080323.01+481618.6,bllac,120.845901489,48.2718505859,plotkin,9,12,0.5,54.3833893141,-20.0701006306,-96.3007040116,-154.881553241
BZBJ0955+3551,bllac,148.78283,35.85022,bzcat,5,2,0.557,49.5214128636,-20.3544535906,133.042819407,112.016119702
J080131.9+473616.1,fsrq,120.382916667,47.6044722222,chen,91,72,0.157,159.547417689,-19.1837,301.022968622,187.915330967
BZBJ0056+1625,candidate,14.23038,16.42036,bzcat,28,21,0.206,122.957758763,-19.1837,108.159795206,100.718948199
BZBJ1219-0314,bllac,184.94046,-3.24,bzcat,23,24,0.299,86.5776313173,-19.1837,-16.9297241298,-109.140930162
BZQJ1421+3855,fsrq,215.27513,38.92294,bzcat,10,2,0.489,55.4542154449,-20.0117763387,244.931065911,103.282089733
085638.50+014000.6,bllac,134.160430908,1.6668599844,plotkin,3,4,0.448,59.915506582,-19.7831223396,-25.6794304072,-71.5346154898
BZQJ1356+4136,fsrq,209.03067,41.60425,bzcat,0,2,0.697,41.0037656734,-20.9512662185,-147.504267002,-171.066797813
BZQJ2211+1841,fsrq,332.97454,18.69719,bzcat,180,182,0.07,351.078864315,-19.1837,-38.7355004207,-340.773349679
160519.04+542059.9,bllac,241.329376221,54.3499794006,plotkin,30,25,0.212,119.642821962,-19.1837,77.7300331985,106.861128271
BZBJ1324+4048,bllac,201.05042,40.80328,bzcat,7,4,0.496,54.7672071375,-20.0490306706,94.656633926,98.5722592591
BZQJ1716+2152,fsrq,259.04662,21.87047,bzcat,21,17,0.358,73.3418274377,-19.2047159189,88.6102171523,126.735070917
BZQJ1053-0014,fsrq,163.42592,-0.23894,bzcat,0,2,0.676,42.0523000146,-20.8693969871,-135.918432728,-157.630226726
BZUJ0751+1730,uncertain,117.8545,17.51419,bzcat,78,63,0.185,136.259337678,-19.1837,244.743310686,179.826663807
BZQJ0209+1352,fsrq,32.4,13.86686,bzcat,5,4,0.631,44.5393324135,-20.6855269531,57.1090697619,159.087459558
BZQJ2228+2503,fsrq,337.00646,25.05086,bzcat,3,5,0.558,49.445114111,-20.3591960759,-89.0438226262,-143.923577408
BZBJ1217-0029,bllac,184.49471,-0.49619,bzcat,17,10,0.419,63.6053673134,-19.6094188397,158.773276987,110.886408903
BZBJ0854+6218,bllac,133.71075,62.31394,bzcat,31,18,0.267,96.2221310836,-19.1837,213.436756179,108.1859266
BZQJ0834+6019,fsrq,128.57312,60.32975,bzcat,1,3,0.72,39.9270291266,-21.0382829752,-161.413880578,-214.595489679
BZBJ0754+4546,bllac,118.64925,45.77919,bzcat,19,19,0.456,58.9811768338,-19.8292153946,0.0,0.0
BZBJ1241+0636,bllac,190.45125,6.60028,bzcat,75,66,0.15,166.731212869,-19.1837,141.529461847,172.651334451
BZUJ1330+5202,uncertain,202.6775,52.03761,bzcat,7,1,0.688,41.4451316897,-20.9164703095,427.245166532,197.464521748
BZQJ1159+2914,fsrq,179.88262,29.24578,bzcat,3,0,0.725,39.7021944365,-21.0568486549,246.929716201,142.56493812
BZBJ1705+6042,bllac,256.39508,60.70439,bzcat,21,29,0.277,92.9674168262,-19.1837,-132.621954011,-125.170202806
BZBJ0026-0005,candidate,6.53487,-0.09639,bzcat,127,123,0.107,231.522880294,-19.1837,80.7790411866,293.94998065
093037.57+495025.6,bllac,142.656555176,49.8404502869,plotkin,52,37,0.187,134.863403349,-19.1837,245.251485007,143.964455387
J083353.9+422401.8,fsrq,128.474583333,42.4005,chen,15,15,0.249,102.743097644,-19.1837,0.0,0.0
BZBJ0920+3910,bllac,140.06542,39.17047,bzcat,3,3,0.607,46.0196506812,-20.5823384735,0.0,0.0
BZQJ1803+0934,fsrq,270.89021,9.57386,bzcat,1,1,0.683,41.6954698396,-20.8969519438,0.0,0.0
BZBJ1446+4127,bllac,221.63571,41.45833,bzcat,4,3,0.638,44.1289463163,-20.7149274011,58.6690483441,144.545105099
BZBJ0856+5418,bllac,134.03421,54.31497,bzcat,48,36,0.259,99.0078651005,-19.1837,195.489539269,139.035993835
133105.70-002221.2,bllac,202.773742676,-0.372570008039,plotkin,19,26,0.243,105.132534602,-19.1837,-112.255636348,-114.456269415
BZUJ1049+2328,uncertain,162.25117,23.63928,bzcat,14,14,0.319,81.5381910745,-19.1837,0.0,0.0
BZBJ0431+1731,bllac,67.98908,17.52661,bzcat,0,0,0.143,174.619720237,-19.1837,0.0,0.0
BZQJ1738+3224,fsrq,264.66875,32.4025,bzcat,67,72,0.126,197.43333034,-19.1837,-103.109659864,-232.104402023
BZUJ1435+2021,uncertain,218.84146,20.355,bzcat,1,2,0.748,38.707530565,-21.1407055341,-90.1372297033,-188.64324632
102128.87+380643.2,bllac,155.370300293,38.1120300293,plotkin,6,4,0.467,57.7493933219,-19.8913891372,55.7144196722,82.4498117955
J133437.4+563147.9,fsrq,203.655833333,56.5299722222,chen,17,14,0.343,76.2719283916,-19.1837,64.8615433909,111.633899751
BZBJ1337+0035,bllac,204.38067,0.59139,bzcat,21,22,0.299,86.5776313173,-19.1837,-16.9297241298,-104.608709231
BZQJ0112+3522,fsrq,18.05392,35.37203,bzcat,5,3,0.45,59.6787730772,-19.7947162509,51.8005652514,68.8674829324
122353.05+465048.8,bllac,185.971054077,46.8469085693,plotkin,32,30,0.261,98.2953345454,-19.1837,32.6452638334,118.493763881
BZQJ2219+2613,fsrq,334.95725,26.22442,bzcat,238,249,0.085,290.057024949,-19.1837,-216.724690867,-409.413401801
BZBJ2334-0834,candidate,353.70121,-8.57714,bzcat,34,28,0.208,121.831452857,-19.1837,92.897539002,113.057148869
BZUJ0753+2921,uncertain,118.35254,29.35886,bzcat,76,75,0.161,155.723422203,-19.1837,15.9107125271,179.833287425
BZBJ0227+0202,bllac,36.81908,2.03336,bzcat,18,14,0.456,58.9811768338,-19.8292153946,106.297881222,139.762514202
J074218.2+194719.7,fsrq,115.575833333,19.7888055556,chen,1,1,0.657,43.0599833416,-20.7932189492,0.0,0.0
083724.71+145819.8,bllac,129.352966309,14.9721698761,plotkin,47,30,0.278,92.6549002417,-19.1837,282.093122419,136.533087385
BZBJ1028+0555,bllac,157.11504,5.92089,bzcat,36,34,0.234,108.94752941,-19.1837,31.7876387268,122.557734765
BZBJ2307+1450,candidate,346.89154,14.83844,bzcat,3,6,0.503,54.0995883603,-20.0858008178,-107.707824729,-130.143859792
BZUJ2341+0018,uncertain,355.27879,0.30925,bzcat,49,47,0.277,92.9674168262,-19.1837,33.1554885027,149.595197956
BZBJ0825+0309,bllac,126.45971,3.15681,bzcat,5,4,0.506,53.819207192,-20.1014140419,36.3257126845,101.191726143
BZQJ0130+0842,fsrq,22.61517,8.71283,bzcat,1,3,0.725,39.7021944365,-21.0568486549,-164.619810801,-218.85768921
BZQJ0811+5714,fsrq,122.75254,57.23681,bzcat,6,2,0.611,45.7646998885,-20.5998002979,211.548182992,143.67377042
142421.17+370552.8,bllac,216.088241577,37.0980186462,plotkin,27,25,0.29,89.0737371263,-19.1837,33.5711302824,111.658709791
TeV J1555+111,bllac,238.93625,11.1947222222,tevcat,8,2,0.5,54.3833893141,-20.0701006306,192.601408023,98.3127006962
BZBJ0148+1402,bllac,27.12375,14.03833,bzcat,81,90,0.125,198.968854578,-19.1837,-185.394668459,-261.45834114
BZBJ1800+7828,bllac,270.19033,78.46778,bzcat,2,0,0.68,41.8474788819,-20.8851756111,138.048228977,97.6148388406
J142606.2+402432.0,fsrq,216.525833333,40.4088888889,chen,4,2,0.664,42.6818845167,-20.8215243323,129.735757782,150.459922935
J092554.7+400414.2,fsrq,141.477916667,40.0706111111,chen,7,3,0.471,57.3159241261,-19.913662535,113.356736477,85.3475357807
105538.62+305251.0,bllac,163.910949707,30.8808498383,plotkin,14,15,0.243,105.132534602,-19.1837,-16.0365194783,-82.3190644161
BZQJ0259+1925,fsrq,44.87354,19.42914,bzcat,5,1,0.545,50.4591595255,-20.2969180678,169.240364077,100.925310174
BZQJ1707+4536,fsrq,256.824,45.60292,bzcat,0,1,0.648,43.5583637049,-20.7564039425,-60.9758012565,-100.007749858
J161035.4+480022.3,fsrq,242.6475,48.0061944444,chen,33,30,0.247,103.526619642,-19.1837,48.3000541295,117.981389207
BZQJ1225+4834,fsrq,186.27708,48.57644,bzcat,3,1,0.647,43.6146118141,-20.7522836456,121.48177259,116.679432372
TeV J0349-119,bllac,57.3458333333,-11.9772222222,tevcat,46,49,0.188,134.176615776,-19.1837,-49.1011284521,-151.613952436
BZBJ1001+2048,bllac,150.42679,20.80494,bzcat,25,21,0.344,76.0685672385,-19.1837,86.5612714356,135.990071583
BZUJ1608+6018,uncertain,242.08558,60.30781,bzcat,42,41,0.178,141.392833728,-19.1837,16.1977506135,135.800534652
BZBJ0855+4237,bllac,133.95229,42.62025,bzcat,9,8,0.517,52.8193731157,-20.157937407,37.9207128588,144.497322927
140642.75+530833.8,bllac,211.678131104,53.1427383423,plotkin,7,2,0.458,58.7527576899,-19.8406220339,134.015690233,77.5903395576
BZBJ1016+4108,bllac,154.07008,41.13672,bzcat,32,32,0.27,95.2202558342,-19.1837,0.0,0.0
BZQJ1220+0203,fsrq,185.0495,2.06172,bzcat,28,20,0.241,105.955579062,-19.1837,128.038301505,103.475625003
BZQJ2143+1743,fsrq,325.89808,17.73022,bzcat,22,32,0.213,119.108551752,-19.1837,-155.617850563,-124.572065076
BZBJ1124+5133,bllac,171.05488,51.56375,bzcat,27,26,0.235,108.50914594,-19.1837,15.9096631713,106.654091141
TeV J1224+246,bllac,186.100833333,24.6066666667,tevcat,27,25,0.218,116.510997341,-19.1837,31.2814434943,104.043134431
153149.47+465913.7,bllac,232.95614624,46.987159729,plotkin,12,13,0.316,82.2531570307,-19.1837,-21.0871205144,-101.064301249
BZUJ0028+0035,uncertain,7.16571,0.59506,bzcat,5,3,0.687,41.4949039594,-20.9125772517,141.861224979,188.600750641
BZBJ1051+3943,bllac,162.85575,39.72381,bzcat,3,4,0.498,54.5745163697,-20.0595852697,-31.8249988262,-88.6541881146
BZUJ0128+4901,uncertain,22.03358,49.01833,bzcat,308,267,0.067,366.563764907,-19.1837,791.340188398,428.21650732
131931.73+140533.1,bllac,199.882247925,14.0925397873,plotkin,12,3,0.573,48.3331759746,-20.4293926519,425.008108869,177.133928857
BZQJ1152+3209,fsrq,178.11467,32.16647,bzcat,14,5,0.374,70.4776388998,-19.3166526407,214.365612213,99.4970775648
000257.17-002447.3,bllac,0.738240003586,-0.413150012493,plotkin,5,0,0.522,52.3790428902,-20.1832611788,193.34504148,86.4665311723
BZQJ1415+0832,fsrq,213.79133,8.53483,bzcat,19,19,0.327,79.6962123115,-19.1837,0.0,0.0
BZBJ1243-0613,bllac,190.89379,-6.2225,bzcat,84,66,0.139,179.484827011,-19.1837,376.472981659,238.04729723
091045.30+254812.8,bllac,137.688766479,25.8035793304,plotkin,17,14,0.384,68.8098285463,-19.3844037648,74.763690014,128.676590776
J165005.5+414032.6,fsrq,252.522916667,41.6757222222,chen,4,3,0.585,47.485378377,-20.4843224763,49.5063663198,121.970666386
BZQJ1715+3619,fsrq,258.78487,36.33058,bzcat,2,2,0.555,49.6748399374,-20.3449452824,0.0,0.0
BZUJ0950+1804,uncertain,147.50125,18.07186,bzcat,87,89,0.154,162.546066447,-19.1837,-31.5856006126,-194.969139743
124834.30+512807.8,bllac,192.142944336,51.4688415527,plotkin,9,13,0.351,74.6777751952,-19.1837,-87.1161362184,-110.98763284
BZUJ1603+1554,uncertain,240.90858,15.90067,bzcat,132,129,0.11,225.356483888,-19.1837,60.7862912943,301.224543229
BZQJ2253+1942,fsrq,343.28071,19.70961,bzcat,11,18,0.284,90.8262574806,-19.1837,-116.82711461,-102.093361192
101244.30+422957.0,bllac,153.184616089,42.4991798401,plotkin,17,18,0.365,72.0575648915,-19.254241052,-22.8669044924,-128.177107893
BZQJ0956+2515,fsrq,149.20783,25.25447,bzcat,5,1,0.708,40.479884739,-20.9932186886,307.97899729,183.661125985
024302.93+004627.3,bllac,40.7622184753,0.774249970913,plotkin,13,8,0.41,64.8578993132,-19.5532568545,109.123078464,93.9219490033
BZQJ2354-0019,fsrq,358.53825,-0.33,bzcat,6,3,0.462,58.3019281749,-19.8632979787,81.7995004002,77.4579794357
BZBJ0109+1816,candidate,17.28408,18.26875,bzcat,91,89,0.145,172.288012203,-19.1837,42.1015292457,259.881046417
BZQJ1631+4927,fsrq,247.81892,49.46097,bzcat,11,8,0.52,52.5541464334,-20.173158666,115.10370155,155.945575287
BZQJ0217-0820,fsrq,34.26108,-8.34789,bzcat,1,4,0.607,46.0196506812,-20.5823384735,-156.247557794,-162.710991683
